ScorelineID,TeamID,DefOp,WeekID,SeasonID,PComp,PAtt,PYds,PTds,Ints,Sack,SYds,Qbr,RYds,RTds,Long,Fumb,FumL,DefTD,Saf,Gefu,Gwd,Bnch,PComPct,NetPYds,TTds,ZPComp,ZPYds,ZTTds,ZTTos,ZInts,ZFumb,ZRYds,ZDefTD,ZSaf,ZGefu,ZGwd,ZBnch,ZOver25,ZFinal,POS,NEG
202504SEA,SEA,ARI,4,2025,18,26,242,1,0,3,-13,75.3,24,0,36,1,0,0,0,0,0.5,0,69.23,229,1,0,0,0,0,0,4,0,0,0,0,-6,0,0,-2,4,-6
202504ARI,ARI,SEA,4,2025,27,41,200,2,2,6,-36,28,41,0,18,0,0,0,0,0,0,0,65.85,164,2,0,6,0,0,10,0,0,0,0,0,0,0,10,26,26,0
202504CIN,CIN,DEN,4,2025,14,25,125,0,0,3,-19,27.8,4,0,22,0,0,0,0,0,0,0,56,106,0,0,12,10,0,0,0,0,0,0,0,0,0,10,32,32,0
202504DEN,DEN,CIN,4,2025,29,42,326,2,1,0,0,82.5,7,1,28,0,0,0,0,0,0,0,69.05,326,3,0,-6,-5,0,5,0,0,0,0,0,0,0,0,-6,5,-11
202504NYJ,NYJ,MIA,4,2025,20,27,226,1,0,2,-19,76.7,81,1,27,1,1,0,0,0,0,0,74.07,207,2,0,0,0,0,0,4,-8,0,0,0,0,0,0,-4,4,-8
202504MIA,MIA,NYJ,4,2025,17,25,177,2,0,0,0,58.5,6,0,28,1,0,0,0,0,0,0,68,177,2,0,6,0,0,0,4,0,0,0,0,0,0,0,10,10,0
202504IND,IND,LAR,4,2025,24,33,262,1,2,2,-14,56.8,-1,0,75,1,0,0,0,0,0,0,72.73,248,1,0,0,0,0,10,4,0,0,0,0,0,0,0,14,14,0
202504LAR,LAR,IND,4,2025,29,41,375,3,0,3,-15,73.8,4,0,88,0,0,0,0,0,1,0,70.73,360,3,0,-9,-5,0,0,0,0,0,0,0,-12,0,0,-26,0,-26
202504NO,NO,BUF,4,2025,18,27,126,1,0,3,-17,73,49,0,17,1,0,0,0,0,0,0,66.67,109,1,0,12,0,0,0,4,0,0,0,0,0,0,10,26,26,0
202504BUF,BUF,NO,4,2025,16,22,209,2,1,3,-18,88.8,45,1,43,0,0,0,0,0,0,0,72.73,191,3,0,6,-5,0,5,0,0,0,0,0,0,0,0,6,11,-5
202504CLE,CLE,DET,4,2025,16,35,184,0,2,3,-14,12.25,-1,0,35,1,1,0,0,0,0,1,45.71,170,0,5,6,10,12,10,4,0,0,0,0,0,35,0,82,82,0
202504DET,DET,CLE,4,2025,16,27,168,2,1,0,0,46.3,0,0,27,0,0,0,0,0,0,0,59.26,168,2,0,6,0,0,5,0,0,0,0,0,0,0,0,11,11,0
202504BAL,BAL,KC,4,2025,23,33,199,1,1,3,-5,38.49,48,0,24,1,1,0,0,0,0,0,69.7,194,1,0,6,0,0,5,4,0,0,0,0,0,0,10,25,25,0
202504KC,KC,BAL,4,2025,25,37,270,4,0,1,-6,73.4,5,0,37,0,0,0,0,0,0,0,67.57,264,4,0,0,-10,0,0,0,0,0,0,0,0,0,0,-10,0,-10
202504CHI,CHI,LV,4,2025,22,37,212,1,1,1,-10,46.6,13,0,29,2,0,0,0,0,1,0,59.46,202,1,0,0,0,0,5,8,0,0,0,0,-12,0,0,1,13,-12
202504LV,LV,CHI,4,2025,14,21,117,2,3,0,0,25.9,31,0,19,0,0,0,0,0,0,0,66.67,117,2,0,12,0,12,15,0,0,0,0,0,0,0,10,49,49,0
202504WSH,WSH,ATL,4,2025,16,27,156,2,1,2,-9,72.4,20,0,24,0,0,0,0,0,0,0,59.26,147,2,0,12,0,0,5,0,0,0,0,0,0,0,10,27,27,0
202504ATL,ATL,WSH,4,2025,20,26,313,2,1,1,-6,90.5,2,0,69,0,0,0,0,0,0,0,76.92,307,2,0,-6,0,0,5,0,0,0,0,0,0,0,0,-1,5,-6
202504MIN,MIN,PIT,4,2025,30,46,350,2,2,6,-48,41.3,12,0,81,1,0,0,0,0,0,0,65.22,302,2,0,-6,0,0,10,4,0,0,0,0,0,0,0,8,14,-6
202504PIT,PIT,MIN,4,2025,18,22,200,1,0,2,-18,39,8,0,80,1,0,0,0,0,0,0,81.82,182,1,0,6,0,0,0,4,0,0,0,0,0,0,0,10,10,0
202504PHI,PHI,TB,4,2025,15,24,130,2,0,2,-18,54.4,62,0,22,1,0,0,0,0,0,0,62.5,112,2,0,12,0,0,0,4,0,0,0,0,0,0,10,26,26,0
202504TB,TB,PHI,4,2025,22,40,289,2,1,2,-17,22.4,13,0,77,1,0,0,0,0,0,0,55,272,2,0,0,0,0,5,4,0,0,0,0,0,0,0,9,9,0
202504CAR,CAR,NE,4,2025,23,36,208,2,0,1,-11,53,3,0,24,0,0,0,0,0,0,1,63.89,197,2,0,6,0,0,0,0,0,0,0,0,0,35,10,51,51,0
202504NE,NE,CAR,4,2025,14,18,203,2,0,1,0,89.41,9,1,33,0,0,0,0,0,0,0,77.78,203,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,-5
202504GB,GB,DAL,4,2025,31,43,337,3,0,1,-12,58,28,0,46,1,1,0,0,0,0,0,72.09,325,3,0,-6,-5,0,0,4,0,0,0,0,0,0,0,-7,4,-11
202504DAL,DAL,GB,4,2025,31,40,319,3,0,1,0,94.4,2,1,34,0,0,0,0,0,0,0,77.5,319,4,0,-6,-10,0,0,0,0,0,0,0,0,0,0,-16,0,-16
202504LAC,LAC,NYG,4,2025,23,41,203,1,2,2,-17,39.6,24,0,36,0,0,0,0,0,0,0,56.1,186,1,0,6,0,0,10,0,0,0,0,0,0,0,0,16,16,0
202504NYG,NYG,LAC,4,2025,14,21,119,1,0,6,-30,42.03,54,1,18,2,0,0,0,0,0,0,66.67,89,2,0,25,0,0,0,8,0,0,0,0,0,0,10,43,43,0
202504TEN,TEN,HOU,4,2025,10,26,108,0,1,2,-15,27.4,22,0,33,0,0,0,0,0,0,0,38.46,93,0,15,25,10,0,5,0,0,0,0,0,0,0,0,55,55,0
202504HOU,HOU,TEN,4,2025,22,28,233,2,0,2,-9,76.5,11,0,37,0,0,0,0,0,0,0,78.57,224,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202504JAX,JAX,SF,4,2025,21,31,174,1,0,0,0,66.3,7,0,28,0,0,0,0,0,0,0,67.74,174,1,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
202504SF,SF,JAX,4,2025,22,38,309,2,2,1,-3,52.1,13,0,31,1,1,0,0,0,0,0,57.89,306,2,0,-6,0,12,10,4,0,0,0,0,0,0,0,20,26,-6
